player_id,team_id,name,year,age,team,pos,no.,games_g,games_gs,punting_pnt,punting_yds,punting_y/p,punting_retyds,punting_net,punting_ny/p,punting_lng,punting_tb,punting_tb%,punting_in20,punting_in20%,punting_blck,av,playoff_stat,punting_netyds,punting_pnt20,awards
LeexAn20,crd,Andy Lee,2017.0,35,ARI,P,2.0,16.0,0.0,88,4159,47.3,506.0,3493.0,39.7,63,8.0,9.1%,29.0,33.0%,0,3.0,False,,,
LeexAn20,crd,Andy Lee,2018.0,36,ARI,P,2.0,16.0,0.0,94,4568,48.6,420.0,4008.0,42.6,64,7.0,7.4%,32.0,34.0%,0,4.0,False,,,
LeexAn20,crd,Andy Lee,2019.0,37,ARI,P,4.0,15.0,0.0,61,2913,47.8,278.0,2555.0,41.2,64,4.0,6.6%,21.0,34.4%,1,3.0,False,,,
LeexAn20,crd,Andy Lee,2020.0,38,ARI,P,4.0,16.0,0.0,58,2600,44.8,201.0,2299.0,39.6,61,5.0,8.6%,21.0,36.2%,0,2.0,False,,,
LeexAn20,crd,Andy Lee,2021.0,39,ARI,P,14.0,16.0,0.0,51,2501,49.0,265.0,2136.0,41.9,62,5.0,9.8%,12.0,23.5%,0,3.0,False,,,
LeexAn20,crd,Andy Lee,2022.0,40,ARI,P,14.0,17.0,0.0,67,3157,47.1,345.0,2732.0,40.2,65,4.0,6.0%,18.0,26.9%,1,2.0,False,,,
CataCh00,crd,Chandler Catanzaro,2016.0,25,ARI,K,7.0,16.0,0.0,2,66,33.0,0.0,66.0,33.0,47,0.0,0.0%,0.0,0.0%,0,,False,,,
CoonNo00,crd,Nolan Cooney,2023.0,27,ARI,P,16.0,4.0,0.0,13,592,45.5,48.0,524.0,40.3,56,1.0,7.7%,2.0,15.4%,0,0.0,False,,,
ButlDr00,crd,Drew Butler,2014.0,25,ARI,P,,1.0,,9,313,34.8,0.0,313.0,34.8,52,0.0,0.0%,1.0,11.1%,0,,True,,,
ButlDr00,crd,Drew Butler,2015.0,26,ARI,P,,2.0,0.0,7,342,48.9,38.0,304.0,43.4,55,0.0,0.0%,3.0,42.9%,0,,True,,,
LeexAn20,crd,Andy Lee,2021.0,39,ARI,P,,1.0,0.0,5,241,48.2,19.0,222.0,44.4,54,0.0,0.0%,0.0,0.0%,0,,True,,,
WadmCo00,den,Colby Wadman,2018.0,23,DEN,P,3.0,12.0,0.0,65,2905,44.7,301.0,2464.0,37.9,65,7.0,10.8%,22.0,33.8%,0,2.0,False,,,
WadmCo00,den,Colby Wadman,2019.0,24,DEN,P,6.0,16.0,0.0,78,3464,44.4,314.0,3070.0,39.4,64,4.0,5.1%,29.0,37.2%,0,2.0,False,,,
