game_id,home_strength,opp_strength
buf_den_2017-09-24,-13.117718553833253,-17.26470877964084
buf_den_2019-11-24,9.943998492891192,-25.598747141532293
buf_den_2023-11-13,-4.091335043027992,-15.50946680152131
buf_det_2018-12-16,0.8891915814510423,-23.278206287562142
buf_gnb_2022-10-30,13.118960504348188,-20.40982985909847
buf_htx_2015-12-06,-2.9443920689908403,-0.32445815768754205
buf_htx_2021-10-03,15.14922878621234,-32.796624027020556
buf_jax_2016-11-27,11.883597434716117,-22.89749382656798
buf_jax_2018-11-25,-8.62075171022145,-18.11590363897677
buf_jax_2023-10-08,8.139065655062561,-22.19029537760108
buf_kan_2020-10-19,-10.500259028528907,-2.602000738126449
buf_kan_2024-01-21,6.534549760683898,-15.355889606912559
buf_mia_2015-11-08,16.76859226657156,-17.435320918045413
