week_ind,day_int,OT,away,attendance,roof_type,humidity_pct,wind_speed,temperature,duration,coach_rating,coach_rating_opp,home_strength,opp_strength
7.0,2,0,0,65878.0,outdoors,59.4390243902439,2.0,56.0,175.0,104.60725974810212,109.3856327543424,4.817385983035498,-8.655815013143151
8.0,2,0,0,65878.0,outdoors,59.4390243902439,8.0,62.0,179.0,105.09566252587987,55.71958333333332,12.387650451534746,-13.891679771113411
10.0,2,0,1,76820.0,outdoors,59.4390243902439,5.0,48.0,180.0,109.9955714285714,105.36415056667552,-10.51087053190798,-0.0165200945334609
11.0,2,0,1,77357.0,outdoors,59.4390243902439,8.56071964017991,66.0,186.0,42.99091013824891,105.955764516259,3.20798975196854,0.4797241076977969
12.0,2,0,0,65878.0,outdoors,59.4390243902439,17.0,47.0,191.0,106.70531620553352,11.326087768440722,15.555262618836814,-19.817315036956742
13.0,2,0,1,68499.0,outdoors,59.4390243902439,13.0,48.0,177.0,6.777253787878792,108.794994676181,-8.133136396377463,-1.6125275877638696
14.0,1,0,1,65548.0,outdoors,59.4390243902439,7.0,55.0,198.0,11.99359228280592,110.52361419858642,15.5489239134734,-27.35410003361053
15.0,2,0,1,68574.0,outdoors,59.4390243902439,4.0,42.0,174.0,111.36996488686988,108.5804843144154,28.59325535433161,-24.70107906337715
16.0,2,0,0,65878.0,outdoors,59.4390243902439,7.0,35.0,183.0,107.51771014492758,12.192928571428588,-11.523983703222386,-2.544304729404973
17.0,2,0,0,65878.0,outdoors,59.4390243902439,14.0,13.0,188.0,108.297426602297,63.1151936715766,15.746266234399268,-23.012498514421665
21.0,3,0,0,65878.0,outdoors,59.4390243902439,12.0,24.0,205.0,109.04820687695364,48.40776050420163,16.547266572353763,-30.57077624432556
,2,0,0,65878.0,outdoors,59.4390243902439,3.0,48.0,181.0,110.76380516755198,99.85432021466907,20.31745887248876,-34.250930672792265
23.0,2,0,0,67612.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,226.0,109.98879041248604,105.66874482758622,3.666478209765297,-3.3051527910800784
1.0,2,0,0,68751.0,outdoors,59.4390243902439,6.0,65.0,174.0,50.0,84.57271634615384,5.87952848851643,-28.58869952620701
2.0,2,0,1,74122.0,outdoors,59.4390243902439,5.0,83.0,169.0,91.5168614916357,275.915,-9.614239648593534,-12.999718045177724
3.0,2,0,0,68865.0,outdoors,59.4390243902439,5.0,83.0,183.0,126.465,177.09249999999997,-13.117718553833251,-17.26470877964084
4.0,2,0,1,71273.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,179.0,107.7103135964912,78.83166666666665,-3.866397150550279,-12.48776804269584
5.0,2,0,1,52367.0,outdoors,59.4390243902439,10.0,63.0,180.0,86.27427391708741,49.60416666666668,3.7731203145824,-25.429148417415966
7.0,2,0,0,68561.0,outdoors,59.4390243902439,9.0,74.0,188.0,18.797500000000056,45.40836011904765,-1.3033254218082335,-14.586760914839832
8.0,2,0,0,69599.0,outdoors,59.4390243902439,7.0,42.0,182.0,25.359666666666627,41.715480769230766,1.87108007690116,-24.41870738219258
9.0,5,0,1,77562.0,outdoors,59.4390243902439,11.0,68.0,200.0,69.295415821501,28.99059523809524,1.6924046049614896,-19.339977401130053
10.0,2,0,0,67501.0,outdoors,59.4390243902439,2.0,42.0,177.0,29.240416666666647,116.662943540131,5.31760491559622,-10.576393219734284
11.0,2,0,1,25015.0,outdoors,59.4390243902439,6.0,76.0,189.0,40.80412500000001,-3.330142857142832,0.3364580933777814,-16.29042309742592
12.0,2,0,1,74929.0,outdoors,59.4390243902439,9.0,62.0,176.0,56.08520791145379,-3.1513095238095232,6.21990968726811,-10.732513738623728
14.0,2,1,0,60222.0,outdoors,59.4390243902439,15.0,32.0,195.0,-3.983055555555495,49.72170325465492,7.036028520823094,-25.06393473613713
15.0,2,0,0,62202.0,outdoors,59.4390243902439,8.0,22.0,185.0,9.017264957264914,17.9644855072463,-5.450239578563641,-32.5474108415222
17.0,2,0,1,65571.0,outdoors,59.4390243902439,9.0,71.0,195.0,18.89317500000004,8.527575757575768,0.4517100506526361,-14.065967450985823
20.0,2,0,1,69442.0,outdoors,59.4390243902439,18.0,53.0,189.0,105.14770731707318,9.917291666666628,9.74442742756927,-25.199184552717725
2.0,2,0,1,25381.0,outdoors,59.4390243902439,7.0,71.0,174.0,-32.48000000000002,12.592671568627388,20.277851485380904,-22.83060623660429
3.0,2,0,1,77562.0,outdoors,59.4390243902439,5.0,88.0,178.0,72.53408933138478,14.035972222222242,14.9812650440327,-17.258394016576748
4.0,2,0,0,84423.0,outdoors,59.4390243902439,13.0,63.0,184.0,10.18995951417002,109.00662780784712,3.978729427078231,-3.494712099385485
5.0,2,0,0,65135.0,outdoors,59.4390243902439,9.0,89.0,193.0,3.716126373626324,38.65013957307055,-1.9811847947176755,-29.86398898716956
6.0,2,0,1,70593.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,172.0,109.36843333333326,6.492476190476168,4.241491840863219,-29.878858648365338
7.0,2,0,0,65025.0,outdoors,59.4390243902439,18.0,86.0,205.0,7.115787878787906,74.77191185428846,-7.559681435826199,-13.065204508397112
8.0,5,0,1,70408.0,outdoors,59.4390243902439,9.0,56.0,189.0,72.02908616850993,13.74205163043473,-7.984657731376982,-24.506456549563055
9.0,2,0,0,65139.0,outdoors,59.4390243902439,2.0,77.0,185.0,10.053645833333306,42.75621499548323,8.497185648878558,-15.016849362986587
10.0,1,0,1,72790.0,outdoors,59.4390243902439,6.0,49.0,185.0,92.56725681237148,12.898030959752276,5.451957418334256,-20.148950032150516
11.0,2,0,0,65089.0,outdoors,59.4390243902439,9.0,81.0,200.0,4.727486425339315,40.1195657894737,-4.641212424403395,-18.529612630207183
13.0,2,0,0,65092.0,outdoors,59.4390243902439,11.0,80.0,200.0,5.5403751803751575,91.32775757575756,5.002337059061553,-27.966442801095173
16.0,2,0,1,65325.0,outdoors,59.4390243902439,15.0,23.0,191.0,58.95890896702545,19.97455913978488,16.898498462153828,-29.088383348575714
2.0,2,0,1,54729.0,outdoors,59.4390243902439,6.0,70.0,180.0,48.45479748465039,77.73453008344319,12.00711440451975,-7.464743373999408
4.0,2,1,0,77562.0,outdoors,59.4390243902439,5.0,64.0,213.0,75.9392251642036,86.00598748748752,-3.690331152356352,-23.967629045235608
5.0,2,0,1,62032.0,outdoors,59.4390243902439,8.0,67.0,177.0,-17.134639423076962,80.25098888888887,-10.087879471176318,-30.11686104368946
8.0,2,0,0,77562.0,outdoors,59.4390243902439,5.0,63.0,182.0,72.20263028638026,106.41325470556195,13.85319433142904,-13.463831923118384
10.0,2,0,1,57911.0,outdoors,59.4390243902439,16.0,79.0,182.0,38.8344152046784,70.18644189383063,-14.453993417404698,-16.972299686091024
12.0,2,0,0,77562.0,outdoors,59.4390243902439,23.0,47.0,205.0,70.06207680491549,95.5303367456897,1.2934028057252434,-17.966035860369367
13.0,2,0,0,77562.0,outdoors,59.4390243902439,8.56071964017991,48.0,200.0,71.94932514378598,55.68494446381316,22.37041277681474,-18.14697036863959
14.0,2,0,1,75518.0,outdoors,59.4390243902439,3.0,60.0,165.0,79.15762987012977,72.55320992179867,-14.26348827597356,-15.2001770053278
15.0,2,0,1,73018.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,200.0,118.82615914792136,67.89691078174943,25.851774696313853,-24.4352185163492
16.0,2,0,0,77562.0,outdoors,59.4390243902439,6.0,40.0,183.0,65.06061212814647,97.49788888888897,-2.9231872093522817,-4.649953967077503
