,game_id,boxscore_stub,week_ind,day_int,attendance,roof_type,humidity_pct,wind_speed,temperature,over_under_value,spread_value,spread_home_away,coach_rating,coach_rating_opp,home_strength,opp_strength,score_home_test,score_opp_test,score_home_pred,score_opp_pred
2057,sdg_buf_2023-12-23,/boxscores/202312230sdg.htm,16.0,3,67678.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,44.0,-12.0,1,50.0,108.77241531342769,-16.248772161051058,7.417372416620447,22.0,24.0,22.33545790354473,22.80519447110474
2058,buf_nwe_2023-12-31,/boxscores/202312310buf.htm,17.0,2,70772.0,outdoors,88.0,4.0,35.0,40.0,-14.0,1,108.9319610346834,100.22455394433166,-0.268649055475282,-5.200375106315413,27.0,21.0,23.90473766125826,16.894743413799073
2059,mia_buf_2024-01-07,/boxscores/202401070mia.htm,18.0,2,66292.0,outdoors,71.0,6.0,63.0,48.0,-2.0,1,125.2555105678635,108.5351892659761,-18.29098674167653,-4.387430550174864,14.0,21.0,24.00020790623364,24.5911330245544
2060,buf_pit_2024-01-15,/boxscores/202401150buf.htm,20.0,1,70040.0,outdoors,57.0,10.0,17.0,38.0,-10.0,1,109.90910650567416,86.5379301572618,8.61271665082777,-4.490244759636925,31.0,17.0,25.549358796042206,17.590107969149898
2061,buf_kan_2024-01-21,/boxscores/202401210buf.htm,21.0,2,70808.0,outdoors,67.0,11.0,25.0,45.5,-2.0,1,110.05032340979984,95.85345147033512,-13.012460853766887,-4.359665279177651,24.0,27.0,23.674110016888317,21.103809032261033
2062,nwe_mia_2023-09-17,/boxscores/202309170nwe.htm,2.0,2,64628.0,outdoors,77.0,3.0,63.0,46.5,-2.0,1,105.88932780847142,85.42080808080809,13.388360343225408,-22.961107132852334,17.0,24.0,25.513448318793042,21.292891432779182
2063,mia_den_2023-09-24,/boxscores/202309240mia.htm,3.0,2,65522.0,outdoors,65.0,5.0,86.0,47.5,-6.0,1,89.86283333333327,109.61772888173772,-19.10212054436887,17.997626575390793,70.0,20.0,22.80459550125838,24.540314033316836
2064,mia_nyg_2023-10-08,/boxscores/202310080mia.htm,5.0,2,65654.0,outdoors,60.0,8.0,88.0,47.5,-13.0,1,104.61167832167834,24.705380434782573,-0.6106045927365877,-0.9135736151315011,31.0,16.0,27.395547411974455,16.22190559098225
2065,mia_car_2023-10-15,/boxscores/202310150mia.htm,6.0,2,65529.0,outdoors,56.0,12.0,87.0,47.5,-14.0,1,114.71237577639754,83.79966632430185,4.886377042475929,-15.938828445730666,42.0,21.0,27.792707302824056,18.995103301769078
2066,phi_mia_2023-10-22,/boxscores/202310220phi.htm,7.0,2,69879.0,outdoors,44.0,17.0,55.0,51.5,-3.0,0,141.5340108278818,118.9185833333333,-11.953375441406823,14.33455212956579,31.0,17.0,24.108438524412566,24.385650537179437
2067,mia_nwe_2023-10-29,/boxscores/202310290mia.htm,8.0,2,65836.0,outdoors,68.0,17.0,83.0,46.5,-8.0,1,111.5363124999999,102.8688696275521,-11.71931769035078,-3.5145181583734373,31.0,17.0,23.710720555458963,21.340113473297865
2068,kan_mia_2023-11-05,/boxscores/202311050kan.htm,9.0,2,50023.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,51.5,-1.0,0,94.83575293199718,117.18337104072396,-14.965293735752088,-5.860598484447129,21.0,14.0,25.26932772828348,25.08190614282104
2069,mia_rai_2023-11-19,/boxscores/202311190mia.htm,11.0,2,66026.0,outdoors,71.0,7.0,82.0,46.0,-13.0,1,115.9359523809524,63.14249999999999,-13.962732066697352,-14.720651565852217,20.0,13.0,27.814621115535772,19.591362054197976
2070,nyj_mia_2023-11-24,/boxscores/202311240nyj.htm,12.0,4,82973.0,outdoors,45.0,11.0,48.0,40.5,-9.0,1,16.56200336700337,119.17885839598992,-36.47657302775303,2.483932410508584,13.0,34.0,17.62429051227038,25.095779657427588
2071,was_mia_2023-12-03,/boxscores/202312030was.htm,13.0,2,63459.0,outdoors,99.0,2.0,53.0,49.5,-9.0,1,73.20847076570954,126.41156681034482,-4.47618500153254,13.88029460640045,15.0,45.0,20.04859478007582,24.05794217718624
2072,mia_oti_2023-12-11,/boxscores/202312110mia.htm,14.0,1,66068.0,outdoors,73.0,9.0,64.0,46.5,-13.0,1,130.8782450980392,45.72840197340197,-6.320899843821691,3.4838323347785494,27.0,28.0,26.854335866342744,17.217638540348002
2073,mia_nyj_2023-12-17,/boxscores/202312170mia.htm,15.0,2,65967.0,outdoors,69.0,15.0,76.0,36.5,-9.0,1,127.64899257552482,20.63711288416073,-43.96971303396032,-3.4557100655405835,30.0,0.0,23.169159932927382,15.262255595287645
2074,mia_dal_2023-12-24,/boxscores/202312240mia.htm,16.0,2,66410.0,outdoors,66.0,15.0,75.0,49.0,-1.0,1,132.55487625313285,86.22081151657264,-9.252814418922895,-28.365479706648497,22.0,20.0,25.741099947051033,23.868225654371177
2075,rav_mia_2023-12-31,/boxscores/202312310rav.htm,17.0,2,71196.0,outdoors,41.0,7.0,50.0,46.5,-3.0,0,106.37753377938714,131.7066017316017,-37.12823372128676,6.732122011948047,56.0,19.0,23.894426007993914,23.14266627818831
2076,kan_mia_2024-01-13,/boxscores/202401130kan.htm,20.0,3,65954.40724793685,outdoors,64.0,19.0,-4.0,43.5,-4.0,0,95.14510101010104,117.5904347826087,-13.51266211652268,-4.681972305933163,26.0,7.0,21.920188281452962,19.861994420288323
