week_ind,day_int,attendance,humidity_pct,wind_speed,temperature,over_under_value,spread_value,spread_home_away,coach_rating,coach_rating_opp,home_strength,opp_strength,team_rating,team_rating_opp
11.0,2,65115.0,90.0,10.0,74.0,46.0,-1.0,0,63.17750000000001,44.2848983508132,-13.78074064750268,14.9834161804959,96.88194,174.57501
13.0,2,64519.0,70.0,21.0,80.0,42.5,-3.0,1,22.27464285714287,69.58662397216958,-9.877614834132649,10.478119241992152,96.5705,176.21800000000002
14.0,1,65408.0,78.0,6.0,77.0,46.5,-1.0,0,7.629642857142898,33.608399350649385,-12.549130565525337,0.8363408776127081,143.52522,162.04917
15.0,2,66676.0,49.0,11.0,61.0,46.0,-1.0,0,73.57482047872344,5.782708333333282,-11.151075882287854,-7.846797188748971,186.88126,101.63188
16.0,2,65482.0,69.0,15.0,82.0,43.0,-2.0,1,-11.484047619047594,67.23600253614958,-19.085180457092605,-2.894670021859528,158.62388,123.25602
2.0,2,57579.0,47.0,6.0,69.0,47.0,-3.0,1,96.39735540959671,81.13060429606631,-40.574644856756194,48.19433567407874,147.25905,144.97402
3.0,2,70970.0,20.0,12.0,70.0,44.5,-2.0,0,67.39187830687831,96.66341666666672,-15.362153168010517,37.02398425959692,155.74324,165.29507
4.0,2,57498.0,64.0,5.0,68.0,45.0,-3.0,1,97.64720515287252,47.80086859903386,19.955181785747513,5.2647899809304395,139.10856,186.26075
5.0,2,65004.0,59.0,3.0,66.0,43.5,-3.0,1,96.67531051497268,149.53465964590964,6.596821195078874,-2.461733761287248,190.61874,149.10104
8.0,2,64750.0,71.0,11.0,62.0,48.5,-1.0,0,89.76466748768473,95.9647696078432,3.204985019737095,6.975986544679337,146.07446,136.25303
9.0,5,65816.0,61.0,4.0,71.0,45.0,-11.0,1,93.90893391030686,16.702861111111105,-7.597353034732169,6.494698663647137,166.4373,106.58417
10.0,1,61381.0,60.0,4.0,53.0,47.0,-10.0,1,97.6056528417818,74.35901754385965,-7.125135968600183,0.6687379391930088,134.83197,126.47937
11.0,2,64745.0,59.4390243902439,8.56071964017991,58.11832611832612,48.5,-4.0,0,79.16023538961042,96.81165253552967,-13.702818102881908,7.80256086629373,148.99335,154.29988
12.0,2,61022.0,88.0,8.0,41.0,42.0,-8.0,1,95.96281941031936,25.88551738583995,-1.7372764469820412,-18.605372496073063,148.7045,145.49352000000002
13.0,2,64775.0,63.0,12.0,45.0,43.5,-9.0,1,10.19399255715036,96.54851307189546,-13.132301627792424,2.411581299019276,131.20954,151.12758
14.0,2,65564.0,79.0,8.0,63.0,50.0,-2.0,1,98.89573529411764,104.56969669117647,-30.134718246239473,7.771530638890935,136.90232,164.74167
15.0,2,70799.0,63.0,14.0,52.0,40.5,-5.0,1,-58.8378044871795,98.54413639817628,-23.92580257139271,10.690893486171746,139.36772000000002,132.00642
16.0,1,76868.0,75.0,6.0,16.0,39.5,-3.0,0,131.34315555555554,96.52602472899724,-9.60826434806024,-11.804119563497965,146.388,159.03755
17.0,2,57254.0,67.0,7.0,35.0,41.5,-9.0,1,93.95319360176502,72.6975033256546,-36.8956971075161,2.765011726784943,135.2641,145.33152
20.0,3,63257.0,82.0,5.0,51.0,45.0,-3.0,0,92.5045405405406,102.13865306122452,-0.5189639673045425,-10.790275578266517,132.03259,146.49508
2.0,2,66472.0,60.0,10.0,66.0,45.5,-6.0,1,102.04208292347045,234.81,-37.908624833576305,46.733835552561175,143.10345999999998,178.24467
3.0,2,52433.0,59.4390243902439,8.56071964017991,58.11832611832612,48.0,-1.0,1,23.54596923076923,102.8526671245421,22.992422717946447,-3.24349992800876,123.18385,139.66331
4.0,5,63929.0,62.0,8.0,63.0,43.5,-2.0,0,102.095837037037,65.64516459193186,8.611754277111597,6.810477754739165,135.23733,166.39488
5.0,1,67658.0,32.0,10.0,93.0,46.0,-3.0,0,81.08489317738791,98.56405135905132,7.4251834353958035,-12.01216116899477,169.45747,130.53928000000002
6.0,2,63846.0,47.0,12.0,45.0,45.0,-3.0,0,96.23641708437766,62.6560438596491,-16.25123370857493,13.592492873629467,132.9985,170.57676
7.0,2,76365.0,57.0,7.0,58.0,43.0,-3.0,0,48.29407008547001,91.65923992673994,-27.815257274348223,17.980970053436288,155.9034,135.03664
9.0,2,65520.0,38.0,5.0,54.0,48.5,-4.0,1,90.59302817493688,46.46899999999993,-12.51667087851138,-8.795683914726226,190.43332,153.56031000000002
10.0,2,64402.0,32.0,12.0,61.0,41.5,-6.0,1,93.95115898617512,11.299611111111147,11.589038312770189,-24.885880599837307,158.10932,155.29170000000002
12.0,2,69055.0,80.0,2.0,38.0,45.5,-3.0,0,147.30962179487173,96.54595285540135,-30.540637222159837,-8.9720352894761,154.29552,186.26209
13.0,2,58701.0,74.0,2.0,37.0,49.0,-7.0,1,98.08429863147596,78.48689573906486,-4.565976237900397,-8.430125571250743,180.95265,121.49971
15.0,2,67234.0,35.0,8.0,41.0,45.0,-6.0,1,103.345801242236,133.82678113553118,-4.866396339567783,-9.715620930498709,159.46457,146.64955
16.0,2,71261.0,87.0,9.0,64.0,47.0,-10.0,1,71.03540796478296,102.65908392434984,-20.377147809763017,-0.8402108395658701,163.18780999999998,125.90942
17.0,2,66693.0,75.0,18.0,34.0,46.5,-11.0,1,18.49506311360452,100.2063231981982,-11.25130492977462,12.041494588576434,145.24904,141.88169
21.0,2,76956.0,36.0,9.0,43.0,41.0,-7.0,0,137.03610547667344,103.35255555555553,14.084517385138344,-23.50979192364531,145.80776,150.45211
2.0,2,53500.0,32.0,8.0,80.0,43.0,-6.0,1,-105.14,66.15268620268623,23.509428787011153,-46.22344890409205,160.61636,170.34933
5.0,2,71046.0,48.0,2.0,65.0,42.5,-6.0,1,68.29974591651536,17.707833333333284,-5.9093667551242515,14.699788792917635,142.93229,202.4597
6.0,2,70799.0,60.0,7.0,69.0,43.5,-2.0,1,-47.38624999999995,64.87076480990275,-7.658468229049184,-9.452881045201153,145.64691000000002,169.50093
7.0,1,64722.0,59.4390243902439,8.56071964017991,58.11832611832612,49.0,-8.0,0,66.62712820512819,65.63697701149431,18.24762223022403,-2.7955421100867572,153.46998000000002,137.1609
8.0,2,70829.0,72.0,10.0,63.0,51.0,-3.0,1,62.03532529368678,85.90655487804875,-21.40049629290343,37.642432155687544,150.609,151.04451
10.0,2,70837.0,34.0,10.0,60.0,47.5,-5.0,1,62.09804306372159,-12.988281250000028,-9.910855005577645,3.4488949948711936,151.71076,133.38923
11.0,2,71105.0,39.0,14.0,47.0,42.0,-2.0,1,65.40800750968992,29.25630335365852,-17.107757517727777,-21.39738980019003,159.31298,114.04158
12.0,1,64380.0,58.0,9.0,45.0,41.5,-3.0,0,8.052561210719041,69.59042521994134,-32.05140114997011,6.020048269249271,148.72648999999998,141.26844
14.0,2,71179.0,70.0,2.0,65.0,41.0,-11.0,0,73.055673136646,149.05997246262783,-23.89672404325293,9.819300259824097,122.58117,175.10757
15.0,2,70791.0,35.0,5.0,41.0,41.0,-6.0,0,69.60689313346228,59.6940873354173,-27.70797828245254,-5.412727761003988,141.71777,139.4142
2.0,2,67431.0,59.0,12.0,64.0,41.0,-2.0,0,22.429592760181023,-8.161527149321273,-0.785420212137057,16.806564205704234,116.31187,164.16728
3.0,2,67431.0,62.0,16.0,75.0,42.5,-3.0,1,19.30719284188044,-39.65750000000001,-50.50123375791758,12.900907772432875,143.15997000000002,169.82091
