coach_name,coach_link,team_link,home_away,boxscore_id,date,coach_id,team_id,season
Leslie Frazier,/coaches/FrazLe0.htm,/teams/min/2013.htm,home,201309220min,2013-09-22,FrazLe0,min,2013
Bruce Arians,/coaches/AriaBr0.htm,/teams/crd/2013.htm,away,201309220nor,2013-09-22,AriaBr0,crd,2013
Sean Payton,/coaches/PaytSe0.htm,/teams/nor/2013.htm,home,201309220nor,2013-09-22,PaytSe0,nor,2013
Greg Schiano,/coaches/SchiGr0.htm,/teams/tam/2013.htm,away,201309220nwe,2013-09-22,SchiGr0,tam,2013
Bill Belichick,/coaches/BeliBi0.htm,/teams/nwe/2013.htm,home,201309220nwe,2013-09-22,BeliBi0,nwe,2013
Doug Marrone,/coaches/MarrDo0.htm,/teams/buf/2013.htm,away,201309220nyj,2013-09-22,MarrDo0,buf,2013
Rex Ryan,/coaches/RyanRe0.htm,/teams/nyj/2013.htm,home,201309220nyj,2013-09-22,RyanRe0,nyj,2013
Mike McCoy,/coaches/McCoMi1.htm,/teams/sdg/2013.htm,away,201309220oti,2013-09-22,McCoMi1,sdg,2013
Mike Munchak,/coaches/MuncMi0.htm,/teams/oti/2013.htm,home,201309220oti,2013-09-22,MuncMi0,oti,2013
Marc Trestman,/coaches/TresMa0.htm,/teams/chi/2013.htm,away,201309220pit,2013-09-22,TresMa0,chi,2013
Mike Tomlin,/coaches/TomlMi0.htm,/teams/pit/2013.htm,home,201309220pit,2013-09-22,TomlMi0,pit,2013
Gary Kubiak,/coaches/KubiGa0.htm,/teams/htx/2013.htm,away,201309220rav,2013-09-22,KubiGa0,htx,2013
John Harbaugh,/coaches/HarbJo0.htm,/teams/rav/2013.htm,home,201309220rav,2013-09-22,HarbJo0,rav,2013
Gus Bradley,/coaches/BradGu0.htm,/teams/jax/2013.htm,away,201309220sea,2013-09-22,BradGu0,jax,2013
Pete Carroll,/coaches/CarrPe0.htm,/teams/sea/2013.htm,home,201309220sea,2013-09-22,CarrPe0,sea,2013
Chuck Pagano,/coaches/PagaCh0.htm,/teams/clt/2013.htm,away,201309220sfo,2013-09-22,PagaCh0,clt,2013
Jim Harbaugh,/coaches/HarbJi0.htm,/teams/sfo/2013.htm,home,201309220sfo,2013-09-22,HarbJi0,sfo,2013
Jim Schwartz,/coaches/SchwJi0.htm,/teams/det/2013.htm,away,201309220was,2013-09-22,SchwJi0,det,2013
Mike Shanahan,/coaches/ShanMi0.htm,/teams/was/2013.htm,home,201309220was,2013-09-22,ShanMi0,was,2013
Dennis Allen,/coaches/AlleDe0.htm,/teams/rai/2013.htm,away,201309230den,2013-09-23,AlleDe0,rai,2013
John Fox,/coaches/FoxxJo0.htm,/teams/den/2013.htm,home,201309230den,2013-09-23,FoxxJo0,den,2013
Jim Harbaugh,/coaches/HarbJi0.htm,/teams/sfo/2013.htm,away,201309260ram,2013-09-26,HarbJi0,sfo,2013
Jeff Fisher,/coaches/FishJe0.htm,/teams/ram/2013.htm,home,201309260ram,2013-09-26,FishJe0,ram,2013
Bill Belichick,/coaches/BeliBi0.htm,/teams/nwe/2013.htm,away,201309290atl,2013-09-29,BeliBi0,nwe,2013
Mike Smith,/coaches/SmitMi0.htm,/teams/atl/2013.htm,home,201309290atl,2013-09-29,SmitMi0,atl,2013
John Harbaugh,/coaches/HarbJo0.htm,/teams/rav/2013.htm,away,201309290buf,2013-09-29,HarbJo0,rav,2013
