coach_name,coach_id,team_id,season,boxscore_id,event_date,week,home_team_id,opp_team_id,rating
Jason Garrett,GarrJa0,dal,2014,201409070dal,2014-09-07,1,dal,sfo,-8.98543269230769
Jay Gruden,GrudJa0,was,2014,201409070htx,2014-09-07,1,was,htx,50.0
Jim Harbaugh,HarbJi0,sfo,2014,201409070dal,2014-09-07,1,sfo,dal,84.47150412796692
John Harbaugh,HarbJo0,rav,2014,201409070rav,2014-09-07,1,rav,cin,38.32611742424244
Chip Kelly,KellCh0,phi,2014,201409070phi,2014-09-07,1,phi,jax,80.86461764705882
Marvin Lewis,LewiMa0,cin,2014,201409070rav,2014-09-07,1,cin,rav,141.29759534583062
Doug Marrone,MarrDo0,buf,2014,201409070chi,2014-09-07,1,buf,chi,70.8937980769231
Mike McCarthy,McCaMi0,gnb,2014,201409040sea,2014-09-04,1,gnb,sea,87.66632164404228
Mike McCoy,McCoMi1,sdg,2014,201409080crd,2014-09-08,1,sdg,crd,80.77609307359305
Bill O'Brien,OBriBi0,htx,2014,201409070htx,2014-09-07,1,htx,was,50.0
Chuck Pagano,PagaCh0,clt,2014,201409070den,2014-09-07,1,clt,den,53.6592735042735
