Coach,Team,Season,Season_Games,Season_Wins,Season_Losses,Season_Ties,Playoff_Games,Playoff_Wins,Playoff_Losses
Jon Gruden,OAK,2018,16,4,12,0,,,
Doug Pederson,PHI,2018,16,9,7,0,2.0,1.0,1.0
Mike Tomlin,PIT,2018,16,9,6,1,,,
Pete Carroll,SEA,2018,16,10,6,0,1.0,0.0,1.0
Kyle Shanahan,SFO,2018,16,4,12,0,,,
Dirk Koetter,TAM,2018,16,5,11,0,,,
Mike Vrabel,TEN,2018,16,9,7,0,,,
Jay Gruden,WAS,2018,16,7,9,0,,,
Kliff Kingsbury,ARI,2019,16,5,10,1,,,
Dan Quinn,ATL,2019,16,7,9,0,,,
John Harbaugh,BAL,2019,16,14,2,0,1.0,0.0,1.0
Sean McDermott,BUF,2019,16,10,6,0,1.0,0.0,1.0
Perry Fewell,CAR,2019,4,0,4,0,,,
Ron Rivera,CAR,2019,12,5,7,0,,,
Matt Nagy,CHI,2019,16,8,8,0,,,
Zac Taylor,CIN,2019,16,2,14,0,,,
Freddie Kitchens,CLE,2019,16,6,10,0,,,
Jason Garrett,DAL,2019,16,8,8,0,,,
Vic Fangio,DEN,2019,16,7,9,0,,,
Matt Patricia,DET,2019,16,3,12,1,,,
Matt LaFleur,GNB,2019,16,13,3,0,2.0,1.0,1.0
Bill O'Brien,HOU,2019,16,10,6,0,2.0,1.0,1.0
Frank Reich,IND,2019,16,7,9,0,,,
Doug Marrone,JAX,2019,16,6,10,0,,,
Andy Reid,KAN,2019,16,12,4,0,3.0,3.0,0.0
Anthony Lynn,LAC,2019,16,5,11,0,,,
Sean McVay,LAR,2019,16,9,7,0,,,
Brian Flores,MIA,2019,16,5,11,0,,,
Mike Zimmer,MIN,2019,16,10,6,0,2.0,1.0,1.0
Sean Payton,NOR,2019,16,13,3,0,1.0,0.0,1.0
Bill Belichick,NWE,2019,16,12,4,0,1.0,0.0,1.0
Pat Shurmur,NYG,2019,16,4,12,0,,,
Adam Gase,NYJ,2019,16,7,9,0,,,
Jon Gruden,OAK,2019,16,7,9,0,,,
Doug Pederson,PHI,2019,16,9,7,0,1.0,0.0,1.0
Mike Tomlin,PIT,2019,16,8,8,0,,,
Pete Carroll,SEA,2019,16,11,5,0,2.0,1.0,1.0
Kyle Shanahan,SFO,2019,16,13,3,0,3.0,2.0,1.0
Bruce Arians,TAM,2019,16,7,9,0,,,
Mike Vrabel,TEN,2019,16,9,7,0,3.0,2.0,1.0
Bill Callahan,WAS,2019,11,3,8,0,,,
Jay Gruden,WAS,2019,5,0,5,0,,,
Bruce Arians,ARI,2014,16,11,5,0,1.0,0.0,1.0
Mike Smith,ATL,2014,16,6,10,0,0.0,0.0,0.0
John Harbaugh,BAL,2014,16,10,6,0,2.0,1.0,1.0
Doug Marrone,BUF,2014,16,9,7,0,0.0,0.0,0.0
Ron Rivera,CAR,2014,16,7,8,1,2.0,1.0,1.0
Marc Trestman,CHI,2014,16,5,11,0,0.0,0.0,0.0
Marvin Lewis,CIN,2014,16,10,5,1,1.0,0.0,1.0
Mike Pettine,CLE,2014,16,7,9,0,0.0,0.0,0.0
Jason Garrett,DAL,2014,16,12,4,0,2.0,1.0,1.0
John Fox,DEN,2014,16,12,4,0,1.0,0.0,1.0
Jim Caldwell,DET,2014,16,11,5,0,1.0,0.0,1.0
Mike McCarthy,GNB,2014,16,12,4,0,2.0,1.0,1.0
Bill O'Brien,HOU,2014,16,9,7,0,0.0,0.0,0.0
Chuck Pagano,IND,2014,16,11,5,0,3.0,2.0,1.0
Gus Bradley,JAX,2014,16,3,13,0,0.0,0.0,0.0
Andy Reid,KAN,2014,16,9,7,0,0.0,0.0,0.0
Joe Philbin,MIA,2014,16,8,8,0,0.0,0.0,0.0
Mike Zimmer,MIN,2014,16,7,9,0,0.0,0.0,0.0
Sean Payton,NOR,2014,16,7,9,0,0.0,0.0,0.0
Bill Belichick,NWE,2014,16,12,4,0,3.0,3.0,0.0
Tom Coughlin,NYG,2014,16,6,10,0,0.0,0.0,0.0
Rex Ryan,NYJ,2014,16,4,12,0,0.0,0.0,0.0
Dennis Allen,OAK,2014,4,0,4,0,0.0,0.0,0.0
Tony Sparano,OAK,2014,12,3,9,0,0.0,0.0,0.0
Chip Kelly,PHI,2014,16,10,6,0,0.0,0.0,0.0
Mike Tomlin,PIT,2014,16,11,5,0,1.0,0.0,1.0
Mike McCoy,SDG,2014,16,9,7,0,0.0,0.0,0.0
Pete Carroll,SEA,2014,16,12,4,0,3.0,2.0,1.0
Jim Harbaugh,SFO,2014,16,8,8,0,0.0,0.0,0.0
Jeff Fisher,STL,2014,16,6,10,0,0.0,0.0,0.0
Lovie Smith,TAM,2014,16,2,14,0,0.0,0.0,0.0
Ken Whisenhunt,TEN,2014,16,2,14,0,0.0,0.0,0.0
Jay Gruden,WAS,2014,16,4,12,0,0.0,0.0,0.0
Bruce Arians,ARI,2015,16,13,3,0,2.0,1.0,1.0
Dan Quinn,ATL,2015,16,8,8,0,0.0,0.0,0.0
John Harbaugh,BAL,2015,16,5,11,0,,,
Rex Ryan,BUF,2015,16,8,8,0,,,
Ron Rivera,CAR,2015,16,15,1,0,3.0,2.0,1.0
John Fox,CHI,2015,16,6,10,0,,,
Marvin Lewis,CIN,2015,16,12,4,0,1.0,0.0,1.0
Mike Pettine,CLE,2015,16,3,13,0,,,
Jason Garrett,DAL,2015,16,4,12,0,,,
Gary Kubiak,DEN,2015,16,12,4,0,3.0,3.0,0.0
Jim Caldwell,DET,2015,16,7,9,0,,,
Mike McCarthy,GNB,2015,16,10,6,0,2.0,1.0,1.0
Bill O'Brien,HOU,2015,16,9,7,0,1.0,0.0,1.0
Chuck Pagano,IND,2015,16,8,8,0,,,
Gus Bradley,JAX,2015,16,5,11,0,,,
Andy Reid,KAN,2015,16,11,5,0,2.0,1.0,1.0
Dan Campbell,MIA,2015,12,5,7,0,,,
Joe Philbin,MIA,2015,4,1,3,0,0.0,0.0,0.0
Mike Zimmer,MIN,2015,16,11,5,0,1.0,0.0,1.0
Sean Payton,NOR,2015,16,7,9,0,,,
Bill Belichick,NWE,2015,16,12,4,0,2.0,1.0,1.0
Tom Coughlin,NYG,2015,16,6,10,0,,,
Todd Bowles,NYJ,2015,16,10,6,0,,,
Jack Del Rio,OAK,2015,16,7,9,0,,,
Chip Kelly,PHI,2015,15,6,9,0,0.0,0.0,0.0
Pat Shurmur,PHI,2015,1,1,0,0,,,
Mike Tomlin,PIT,2015,16,10,6,0,2.0,1.0,1.0
Mike McCoy,SDG,2015,16,4,12,0,,,
Pete Carroll,SEA,2015,16,10,6,0,2.0,1.0,1.0
Jim Tomsula,SFO,2015,16,5,11,0,,,
Jeff Fisher,STL,2015,16,7,9,0,,,
Lovie Smith,TAM,2015,16,6,10,0,,,
Mike Mularkey,TEN,2015,9,2,7,0,,,
Ken Whisenhunt,TEN,2015,7,1,6,0,0.0,0.0,0.0
Jay Gruden,WAS,2015,16,9,7,0,1.0,0.0,1.0
Bruce Arians,ARI,2017,16,8,8,0,,,
Dan Quinn,ATL,2017,16,10,6,0,2.0,1.0,1.0
John Harbaugh,BAL,2017,16,9,7,0,,,
Sean McDermott,BUF,2017,16,9,7,0,1.0,0.0,1.0
Ron Rivera,CAR,2017,16,11,5,0,1.0,0.0,1.0
John Fox,CHI,2017,16,5,11,0,,,
Marvin Lewis,CIN,2017,16,7,9,0,,,
Hue Jackson,CLE,2017,16,0,16,0,,,
Jason Garrett,DAL,2017,16,9,7,0,,,
Vance Joseph,DEN,2017,16,5,11,0,,,
Jim Caldwell,DET,2017,16,9,7,0,,,
Mike McCarthy,GNB,2017,16,7,9,0,,,
Bill O'Brien,HOU,2017,16,4,12,0,,,
Chuck Pagano,IND,2017,16,4,12,0,,,
Doug Marrone,JAX,2017,16,10,6,0,3.0,2.0,1.0
Andy Reid,KAN,2017,16,10,6,0,1.0,0.0,1.0
Anthony Lynn,LAC,2017,16,9,7,0,,,
