date,player_id,player_name,team,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,kick_ret_long,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,punt_ret_long
2017-11-26,AmenDa00,Danny Amendola,NWE,0,0,,0,0,3,4,1.3,0,8
2017-11-26,LewiDi00,Dion Lewis,NWE,2,35,17.5,0,20,0,0,,0,0
2017-11-26,LockTy00,Tyler Lockett,SEA,1,26,26.0,0,26,2,7,3.5,0,8
2017-11-26,VannNi00,Nick Vannett,SEA,1,0,0.0,0,0,0,0,,0,0
2017-11-26,TaylTr02,Trent Taylor,SFO,0,0,,0,0,2,18,9.0,0,18
2017-11-26,MickJa01,Jaydon Mickens,JAX,1,0,0.0,0,0,1,14,14.0,0,14
2017-11-26,GranCo00,Corey Grant,JAX,1,68,68.0,0,68,0,0,,0,0
2017-11-26,PetePa00,Patrick Peterson,ARI,0,0,,0,0,2,31,15.5,0,19
2017-11-26,WillKe05,Kerwynn Williams,ARI,0,0,,0,0,2,22,11.0,0,20
2017-11-26,FostD.01,D.J. Foster,ARI,2,50,25.0,0,32,0,0,,0,0
2017-11-26,TaylJo01,Jordan Taylor,DEN,0,0,,0,0,1,8,8.0,0,8
2017-11-26,BookDe00,Devontae Booker,DEN,1,14,14.0,0,14,0,0,,0,0
2017-11-26,RichJa01,Jalen Richard,OAK,0,0,,0,0,4,25,6.3,0,10
2017-11-26,PattCo00,Cordarrelle Patterson,OAK,1,5,5.0,0,5,0,0,,0,0
2017-11-26,CoopPh00,Pharoh Cooper,LAR,4,110,27.5,0,40,3,59,19.7,0,40
2017-11-26,DaviTr03,Trevor Davis,GNB,3,59,19.7,0,23,0,0,,0,0
2017-11-26,BrowAn04,Antonio Brown,PIT,0,0,,0,0,3,9,3.0,0,7
2017-11-26,BryaMa00,Martavis Bryant,PIT,2,58,29.0,0,38,0,0,,0,0
2017-11-27,ThomCh05,Chris Thompson,HOU,2,47,23.5,0,27,1,0,0.0,0,0
2017-11-27,ElliBr00,Bruce Ellington,HOU,0,0,,0,0,1,21,21.0,0,21
2017-11-27,TodmJo00,Jordan Todman,HOU,1,20,20.0,0,20,0,0,,0,0
2017-11-27,MoorCh00,Chris Moore,BAL,2,50,25.0,0,27,0,0,,0,0
2017-11-30,CrowJa00,Jamison Crowder,WAS,0,0,,0,0,1,4,4.0,0,4
2017-11-30,FullKe00,Kendall Fuller,WAS,1,12,12.0,0,12,0,0,,0,0
2017-11-30,HarrMa05,Maurice Harris,WAS,1,13,13.0,0,13,0,0,,0,0
2017-11-30,MarsBy01,Byron Marshall,WAS,1,29,29.0,0,29,0,0,,0,0
2017-11-30,SwitRy00,Ryan Switzer,DAL,0,0,,0,0,2,88,44.0,1,83
2017-12-03,SherMa20,Marcus Sherels,MIN,2,51,25.5,0,32,1,10,10.0,0,10
2017-12-03,RobeAn00,Andre Roberts,ATL,2,45,22.5,0,24,2,8,4.0,0,5
2017-12-03,AmenDa00,Danny Amendola,NWE,0,0,,0,0,1,0,0.0,0,0
2017-12-03,ReedBe01,Bernard Reedy,NWE,0,0,,0,0,1,11,11.0,0,11
2017-12-03,BurkRe00,Rex Burkhead,NWE,1,17,17.0,0,17,0,0,,0,0
2017-12-03,TateBr00,Brandon Tate,BUF,3,68,22.7,0,25,0,0,,0,0
2017-12-03,TaylTr02,Trent Taylor,SFO,0,0,,0,0,3,21,7.0,0,19
2017-12-03,BoldVi00,Victor Bolden,SFO,1,30,30.0,0,30,0,0,,0,0
2017-12-03,CoheTa00,Tarik Cohen,CHI,1,2,2.0,0,2,2,68,34.0,1,61
2017-12-03,FergJo02,Josh Ferguson,IND,3,52,17.3,0,20,0,0,,0,0
2017-12-03,GranCo00,Corey Grant,JAX,2,46,23.0,0,31,0,0,,0,0
2017-12-03,McKeIs00,Isaiah McKenzie,DEN,0,0,,0,0,1,-3,-3.0,0,-3
2017-12-03,LangBr00,Brendan Langley,DEN,1,15,15.0,0,15,0,0,,0,0
2017-12-03,GranJa00,Jakeem Grant,MIA,2,37,18.5,0,21,4,61,15.3,0,27
2017-12-03,LandJa00,Jarvis Landry,MIA,0,0,,0,0,1,-5,-5.0,0,-5
2017-12-03,PerrSe00,Senorise Perry,MIA,1,20,20.0,0,20,0,0,,0,0
2017-12-03,JoneT.00,T.J. Jones,DET,0,0,,0,0,2,14,7.0,0,9
2017-12-03,ZennZa00,Zach Zenner,DET,2,42,21.0,0,23,0,0,,0,0
2017-12-03,CampMi02,Michael Campanaro,BAL,0,0,,0,0,3,28,9.3,0,10
2017-12-03,MoorCh00,Chris Moore,BAL,2,51,25.5,0,27,0,0,,0,0
2017-12-03,MaylVi00,Vince Mayle,BAL,1,29,29.0,0,29,0,0,,0,0
2017-12-03,HumpAd00,Adam Humphries,TAM,0,0,,0,0,3,12,4.0,0,10
2017-12-03,RodgJa00,Jacquizz Rodgers,TAM,1,20,20.0,0,20,0,0,,0,0
2017-12-03,DaviTr03,Trevor Davis,GNB,4,121,30.3,0,33,1,2,2.0,0,2
2017-12-03,WhitJe02,Jermaine Whitehead,GNB,0,0,,0,0,1,0,0.0,0,0
2017-12-03,ThomCh05,Chris Thompson,HOU,2,42,21.0,0,26,2,21,10.5,0,15
2017-12-03,MillBr03,Braxton Miller,HOU,0,0,,0,0,1,8,8.0,0,8
2017-12-03,JackAd00,Adoree' Jackson,TEN,0,0,,0,0,2,41,20.5,0,25
2017-12-03,HillTy00,Tyreek Hill,KAN,0,0,,0,0,1,24,24.0,0,24
2017-12-03,ThomDe05,De'Anthony Thomas,KAN,3,63,21.0,0,25,0,0,,0,0
2017-12-03,HuntAk01,Akeem Hunt,KAN,2,38,19.0,0,28,0,0,,0,0
2017-12-03,NatsJo00,Jojo Natson,NYJ,2,42,21.0,0,23,0,0,,0,0
2017-12-03,JohnDu00,Duke Johnson,CLE,0,0,,0,0,1,12,12.0,0,12
2017-12-03,DayeMa00,Matthew Dayes,CLE,2,51,25.5,0,32,0,0,,0,0
2017-12-03,BenjTr00,Travis Benjamin,LAC,0,0,,0,0,1,9,9.0,0,9
2017-12-03,KingDe01,Desmond King,LAC,3,82,27.3,0,44,0,0,,0,0
2017-12-03,ClayKa00,Kaelin Clay,CAR,0,0,,0,0,3,20,6.7,0,9
2017-12-03,WhitFo00,Fozzy Whittaker,CAR,2,42,21.0,0,23,0,0,,0,0
2017-12-03,LewiTo00,Tommylee Lewis,NOR,0,0,,0,0,2,5,2.5,0,3
2017-12-03,CoopPh00,Pharoh Cooper,LAR,2,34,17.0,0,21,4,60,15.0,0,30
2017-12-03,LongMa00,Matt Longacre,LAR,1,0,0.0,0,0,0,0,,0,0
2017-12-03,ThomMi04,Mike Thomas,LAR,1,15,15.0,0,15,0,0,,0,0
2017-12-03,PetePa00,Patrick Peterson,ARI,0,0,,0,0,2,12,6.0,0,10
2017-12-03,GoldBr00,Brittan Golden,ARI,2,33,16.5,0,19,0,0,,0,0
2017-12-03,RaymKa00,Kalif Raymond,NYG,2,32,16.0,0,18,2,10,5.0,0,8
2017-12-03,RichJa01,Jalen Richard,OAK,1,17,17.0,0,17,4,23,5.8,0,19
2017-12-03,WashDe00,DeAndre Washington,OAK,2,29,14.5,0,15,0,0,,0,0
2017-12-03,BarnKe00,Kenjon Barner,PHI,2,43,21.5,0,24,1,0,0.0,0,0
2017-12-03,CeleBr00,Brent Celek,PHI,1,10,10.0,0,10,0,0,,0,0
2017-12-03,LockTy00,Tyler Lockett,SEA,2,47,23.5,0,25,1,2,2.0,0,2
2017-12-04,RogeEl00,Eli Rogers,PIT,0,0,,0,0,2,7,3.5,0,7
2017-12-04,BryaMa00,Martavis Bryant,PIT,2,38,19.0,0,22,0,0,,0,0
2017-12-04,EricAl01,Alex Erickson,CIN,2,29,14.5,0,19,2,9,4.5,0,9
2017-12-07,LewiTo00,Tommylee Lewis,NOR,5,121,24.2,0,36,0,0,,0,0
2017-12-07,RobeAn00,Andre Roberts,ATL,2,61,30.5,0,36,2,4,2.0,0,4
2017-12-10,RogeCh02,Chester Rogers,IND,0,0,,0,0,1,2,2.0,0,2
2017-12-10,FergJo02,Josh Ferguson,IND,2,34,17.0,0,20,0,0,,0,0
2017-12-10,TateBr00,Brandon Tate,BUF,3,52,17.3,0,27,0,0,,0,0
2017-12-10,SherMa20,Marcus Sherels,MIN,1,27,27.0,0,27,5,54,10.8,0,29
2017-12-10,BrowMa02,Mack Brown,MIN,1,17,17.0,0,17,0,0,,0,0
2017-12-10,ClayKa00,Kaelin Clay,CAR,0,0,,0,0,1,7,7.0,0,7
2017-12-10,ByrdDa00,Damiere Byrd,CAR,2,38,19.0,0,22,0,0,,0,0
2017-12-10,MayoDa00,David Mayo,CAR,1,12,12.0,0,12,0,0,,0,0
2017-12-10,CoheTa00,Tarik Cohen,CHI,2,39,19.5,0,22,2,7,3.5,0,6
2017-12-10,EricAl01,Alex Erickson,CIN,5,97,19.4,0,32,2,12,6.0,0,7
2017-12-10,DaviTr03,Trevor Davis,GNB,3,75,25.0,0,26,2,63,31.5,0,65
2017-12-10,JohnDu00,Duke Johnson,CLE,0,0,,0,0,2,5,2.5,0,5
2017-12-10,DayeMa00,Matthew Dayes,CLE,2,24,12.0,0,16,0,0,,0,0
2017-12-10,SwitRy00,Ryan Switzer,DAL,2,50,25.0,0,28,2,17,8.5,0,10
2017-12-10,BeasCo00,Cole Beasley,DAL,0,0,,0,0,2,19,9.5,0,15
2017-12-10,RaymKa00,Kalif Raymond,NYG,3,48,16.0,0,18,1,-3,-3.0,0,-3
2017-12-10,VereSh00,Shane Vereen,NYG,1,20,20.0,0,20,0,0,,0,0
2017-12-10,JoneT.00,T.J. Jones,DET,4,70,17.5,0,21,3,16,5.3,0,17
2017-12-10,RodgJa00,Jacquizz Rodgers,TAM,3,60,20.0,0,22,0,0,,0,0
2017-12-10,TaylTr02,Trent Taylor,SFO,0,0,,0,0,2,15,7.5,0,10
2017-12-10,BoldVi00,Victor Bolden,SFO,2,42,21.0,0,26,0,0,,0,0
2017-12-10,WhitDe01,DeAndrew White,HOU,0,0,,0,0,4,3,0.8,0,3
2017-12-10,HillTy00,Tyreek Hill,KAN,0,0,,0,0,3,17,5.7,0,13
2017-12-10,ThomDe05,De'Anthony Thomas,KAN,1,20,20.0,0,20,0,0,,0,0
2017-12-10,JackAd00,Adoree' Jackson,TEN,2,55,27.5,0,29,3,14,4.7,0,14
2017-12-10,GoldBr00,Brittan Golden,ARI,0,0,,0,0,2,20,10.0,0,10
2017-12-10,PetePa00,Patrick Peterson,ARI,0,0,,0,0,2,13,6.5,0,9
2017-12-10,FostD.01,D.J. Foster,ARI,2,27,13.5,0,14,0,0,,0,0
2017-12-10,NatsJo00,Jojo Natson,NYJ,1,27,27.0,0,27,1,-1,-1.0,0,-1
2017-12-10,TaylJo01,Jordan Taylor,DEN,0,0,,0,0,5,62,12.4,0,24
2017-12-10,CrowJa00,Jamison Crowder,WAS,0,0,,0,0,3,12,4.0,0,10
2017-12-10,BreeBa00,Bashaud Breeland,WAS,4,88,22.0,0,35,0,0,,0,0
2017-12-10,MarsBy01,Byron Marshall,WAS,1,22,22.0,0,22,0,0,,0,0
2017-12-10,PaulNi00,Niles Paul,WAS,1,18,18.0,0,18,0,0,,0,0
2017-12-10,BenjTr00,Travis Benjamin,LAC,0,0,,0,0,2,47,23.5,0,47
2017-12-10,KingDe01,Desmond King,LAC,1,20,20.0,0,20,0,0,,0,0
2017-12-10,LockTy00,Tyler Lockett,SEA,4,85,21.3,0,25,3,5,1.7,0,5
2017-12-10,GlowMa00,Mark Glowinski,SEA,1,0,0.0,0,0,0,0,,0,0
2017-12-10,WillLu00,Luke Willson,SEA,1,16,16.0,0,16,0,0,,0,0
2017-12-10,MickJa01,Jaydon Mickens,JAX,1,20,20.0,0,20,3,72,24.0,0,72
2017-12-10,GranCo00,Corey Grant,JAX,2,37,18.5,0,16,0,0,,0,0
2017-12-10,BarnKe00,Kenjon Barner,PHI,0,0,,0,0,3,11,3.7,0,7
2017-12-10,CoopPh00,Pharoh Cooper,LAR,2,46,23.0,0,25,1,-3,-3.0,0,-3
2017-12-10,CarrDe00,Derek Carrier,LAR,2,28,14.0,0,14,0,0,,0,0
2017-12-10,CampMi02,Michael Campanaro,BAL,1,40,40.0,0,40,1,0,0.0,0,0
2017-12-10,MoorCh00,Chris Moore,BAL,5,86,17.2,0,20,0,0,,0,0
2017-12-10,RogeEl00,Eli Rogers,PIT,0,0,,0,0,1,-2,-2.0,0,-2
2017-12-10,BryaMa00,Martavis Bryant,PIT,5,55,11.0,0,21,0,0,,0,0
2017-12-10,TousFi00,Fitzgerald Toussaint,PIT,1,23,23.0,0,23,0,0,,0,0
2017-12-11,ReedBe01,Bernard Reedy,NWE,0,0,,0,0,3,21,7.0,0,13
2017-12-11,AmenDa00,Danny Amendola,NWE,0,0,,0,0,2,16,8.0,0,11
2017-12-11,LewiDi00,Dion Lewis,NWE,3,49,16.3,0,19,0,0,,0,0
2017-12-11,GranJa00,Jakeem Grant,MIA,1,14,14.0,0,14,1,0,0.0,0,0
2017-12-11,LandJa00,Jarvis Landry,MIA,0,0,,0,0,1,9,9.0,0,9
2017-12-11,PerrSe00,Senorise Perry,MIA,2,33,16.5,0,18,0,0,,0,0
2017-12-14,TaylJo01,Jordan Taylor,DEN,0,0,,0,0,1,0,0.0,0,0
2017-12-14,BookDe00,Devontae Booker,DEN,1,23,23.0,0,23,0,0,,0,0
2017-12-16,CoheTa00,Tarik Cohen,CHI,3,62,20.7,0,24,1,2,2.0,0,2
2017-12-16,AgneJa00,Jamal Agnew,DET,0,0,,0,0,4,46,11.5,0,16
2017-12-16,AbduAm00,Ameer Abdullah,DET,1,25,25.0,0,25,0,0,,0,0
2017-12-16,FellDa01,Darren Fells,DET,1,10,10.0,0,10,0,0,,0,0
2017-12-16,TateGo00,Golden Tate,DET,1,-1,-1.0,0,-1,0,0,,0,0
2017-12-16,BenjTr00,Travis Benjamin,LAC,0,0,,0,0,1,6,6.0,0,6
2017-12-16,KingDe01,Desmond King,LAC,1,21,21.0,0,21,0,0,,0,0
2017-12-16,HillTy00,Tyreek Hill,KAN,0,0,,0,0,1,1,1.0,0,1
2017-12-16,SoreDa01,Daniel Sorensen,KAN,0,0,,0,0,1,0,0.0,0,0
2017-12-16,HuntAk01,Akeem Hunt,KAN,3,75,25.0,0,31,0,0,,0,0
2017-12-17,GranJa00,Jakeem Grant,MIA,2,43,21.5,0,22,2,33,16.5,0,26
2017-12-17,TateBr00,Brandon Tate,BUF,3,38,12.7,0,20,1,2,2.0,0,2
2017-12-17,DaviTr03,Trevor Davis,GNB,0,0,,0,0,2,15,7.5,0,13
2017-12-17,ClayKa00,Kaelin Clay,CAR,0,0,,0,0,1,5,5.0,0,5
2017-12-17,ByrdDa00,Damiere Byrd,CAR,2,45,22.5,0,25,0,0,,0,0
2017-12-17,EricAl01,Alex Erickson,CIN,2,44,22.0,0,30,2,12,6.0,0,11
2017-12-17,SherMa20,Marcus Sherels,MIN,0,0,,0,0,5,41,8.2,0,16
2017-12-17,CampMi02,Michael Campanaro,BAL,0,0,,0,0,1,0,0.0,0,0
2017-12-17,PeppJa00,Jabrill Peppers,CLE,3,77,25.7,0,29,1,11,11.0,0,11
2017-12-17,GoldBr00,Brittan Golden,ARI,1,22,22.0,0,22,5,43,8.6,0,15
2017-12-17,FostD.01,D.J. Foster,ARI,1,6,6.0,0,6,0,0,,0,0
2017-12-17,CrowJa00,Jamison Crowder,WAS,0,0,,0,0,2,18,9.0,0,9
2017-12-17,BreeBa00,Bashaud Breeland,WAS,3,61,20.3,0,30,0,0,,0,0
2017-12-17,HarrMa05,Maurice Harris,WAS,1,34,34.0,0,34,0,0,,0,0
2017-12-17,FullWi01,Will Fuller,HOU,0,0,,0,0,1,16,16.0,0,16
2017-12-17,ThomCh05,Chris Thompson,HOU,2,25,12.5,0,22,0,0,,0,0
2017-12-17,MickJa01,Jaydon Mickens,JAX,0,0,,0,0,5,38,7.6,0,26
2017-12-17,WestDe00,Dede Westbrook,JAX,0,0,,0,0,1,19,19.0,0,19
2017-12-17,GranCo00,Corey Grant,JAX,2,44,22.0,0,22,0,0,,0,0
2017-12-17,NatsJo00,Jojo Natson,NYJ,5,106,21.2,0,24,1,0,0.0,0,0
2017-12-17,LewiTo00,Tommylee Lewis,NOR,1,24,24.0,0,24,5,36,7.2,0,17
2017-12-17,GrifGa00,Garrett Griffin,NOR,1,11,11.0,0,11,0,0,,0,0
2017-12-17,BarnKe00,Kenjon Barner,PHI,3,56,18.7,0,27,0,0,,0,0
2017-12-17,ClemCo00,Corey Clement,PHI,1,14,14.0,0,14,0,0,,0,0
