coach_name,coach_link,team_link,home_away,boxscore_id,date
Doug Marrone,/coaches/MarrDo0.htm,/teams/buf/2013.htm,away,201309220nyj,2013-09-22
Rex Ryan,/coaches/RyanRe0.htm,/teams/nyj/2013.htm,home,201309220nyj,2013-09-22
Mike McCoy,/coaches/McCoMi1.htm,/teams/sdg/2013.htm,away,201309220oti,2013-09-22
Mike Munchak,/coaches/MuncMi0.htm,/teams/oti/2013.htm,home,201309220oti,2013-09-22
Marc Trestman,/coaches/TresMa0.htm,/teams/chi/2013.htm,away,201309220pit,2013-09-22
Mike Tomlin,/coaches/TomlMi0.htm,/teams/pit/2013.htm,home,201309220pit,2013-09-22
Gary Kubiak,/coaches/KubiGa0.htm,/teams/htx/2013.htm,away,201309220rav,2013-09-22
John Harbaugh,/coaches/HarbJo0.htm,/teams/rav/2013.htm,home,201309220rav,2013-09-22
Gus Bradley,/coaches/BradGu0.htm,/teams/jax/2013.htm,away,201309220sea,2013-09-22
Pete Carroll,/coaches/CarrPe0.htm,/teams/sea/2013.htm,home,201309220sea,2013-09-22
Chuck Pagano,/coaches/PagaCh0.htm,/teams/clt/2013.htm,away,201309220sfo,2013-09-22
Jim Harbaugh,/coaches/HarbJi0.htm,/teams/sfo/2013.htm,home,201309220sfo,2013-09-22
Jim Schwartz,/coaches/SchwJi0.htm,/teams/det/2013.htm,away,201309220was,2013-09-22
Mike Shanahan,/coaches/ShanMi0.htm,/teams/was/2013.htm,home,201309220was,2013-09-22
Dennis Allen,/coaches/AlleDe0.htm,/teams/rai/2013.htm,away,201309230den,2013-09-23
John Fox,/coaches/FoxxJo0.htm,/teams/den/2013.htm,home,201309230den,2013-09-23
Jim Harbaugh,/coaches/HarbJi0.htm,/teams/sfo/2013.htm,away,201309260ram,2013-09-26
Jeff Fisher,/coaches/FishJe0.htm,/teams/ram/2013.htm,home,201309260ram,2013-09-26
Bill Belichick,/coaches/BeliBi0.htm,/teams/nwe/2013.htm,away,201309290atl,2013-09-29
Mike Smith,/coaches/SmitMi0.htm,/teams/atl/2013.htm,home,201309290atl,2013-09-29
John Harbaugh,/coaches/HarbJo0.htm,/teams/rav/2013.htm,away,201309290buf,2013-09-29
Doug Marrone,/coaches/MarrDo0.htm,/teams/buf/2013.htm,home,201309290buf,2013-09-29
Marvin Lewis,/coaches/LewiMa0.htm,/teams/cin/2013.htm,away,201309290cle,2013-09-29
Rob Chudzinski,/coaches/ChudRo0.htm,/teams/cle/2013.htm,home,201309290cle,2013-09-29
Chip Kelly,/coaches/KellCh0.htm,/teams/phi/2013.htm,away,201309290den,2013-09-29
John Fox,/coaches/FoxxJo0.htm,/teams/den/2013.htm,home,201309290den,2013-09-29
Marc Trestman,/coaches/TresMa0.htm,/teams/chi/2013.htm,away,201309290det,2013-09-29
Jim Schwartz,/coaches/SchwJi0.htm,/teams/det/2013.htm,home,201309290det,2013-09-29
Pete Carroll,/coaches/CarrPe0.htm,/teams/sea/2013.htm,away,201309290htx,2013-09-29
Gary Kubiak,/coaches/KubiGa0.htm,/teams/htx/2013.htm,home,201309290htx,2013-09-29
Chuck Pagano,/coaches/PagaCh0.htm,/teams/clt/2013.htm,away,201309290jax,2013-09-29
Gus Bradley,/coaches/BradGu0.htm,/teams/jax/2013.htm,home,201309290jax,2013-09-29
Tom Coughlin,/coaches/CougTo0.htm,/teams/nyg/2013.htm,away,201309290kan,2013-09-29
Andy Reid,/coaches/ReidAn0.htm,/teams/kan/2013.htm,home,201309290kan,2013-09-29
Mike Tomlin,/coaches/TomlMi0.htm,/teams/pit/2013.htm,away,201309290min,2013-09-29
Leslie Frazier,/coaches/FrazLe0.htm,/teams/min/2013.htm,home,201309290min,2013-09-29
Rex Ryan,/coaches/RyanRe0.htm,/teams/nyj/2013.htm,away,201309290oti,2013-09-29
Mike Munchak,/coaches/MuncMi0.htm,/teams/oti/2013.htm,home,201309290oti,2013-09-29
Mike Shanahan,/coaches/ShanMi0.htm,/teams/was/2013.htm,away,201309290rai,2013-09-29
Dennis Allen,/coaches/AlleDe0.htm,/teams/rai/2013.htm,home,201309290rai,2013-09-29
Jason Garrett,/coaches/GarrJa0.htm,/teams/dal/2013.htm,away,201309290sdg,2013-09-29
Mike McCoy,/coaches/McCoMi1.htm,/teams/sdg/2013.htm,home,201309290sdg,2013-09-29
Bruce Arians,/coaches/AriaBr0.htm,/teams/crd/2013.htm,away,201309290tam,2013-09-29
Greg Schiano,/coaches/SchiGr0.htm,/teams/tam/2013.htm,home,201309290tam,2013-09-29
Joe Philbin,/coaches/PhilJo0.htm,/teams/mia/2013.htm,away,201309300nor,2013-09-30
Sean Payton,/coaches/PaytSe0.htm,/teams/nor/2013.htm,home,201309300nor,2013-09-30
Doug Marrone,/coaches/MarrDo0.htm,/teams/buf/2013.htm,away,201310030cle,2013-10-03
Rob Chudzinski,/coaches/ChudRo0.htm,/teams/cle/2013.htm,home,201310030cle,2013-10-03
Sean Payton,/coaches/PaytSe0.htm,/teams/nor/2013.htm,away,201310060chi,2013-10-06
Marc Trestman,/coaches/TresMa0.htm,/teams/chi/2013.htm,home,201310060chi,2013-10-06
Bill Belichick,/coaches/BeliBi0.htm,/teams/nwe/2013.htm,away,201310060cin,2013-10-06
Marvin Lewis,/coaches/LewiMa0.htm,/teams/cin/2013.htm,home,201310060cin,2013-10-06
Pete Carroll,/coaches/CarrPe0.htm,/teams/sea/2013.htm,away,201310060clt,2013-10-06
Chuck Pagano,/coaches/PagaCh0.htm,/teams/clt/2013.htm,home,201310060clt,2013-10-06
Ron Rivera,/coaches/RiveRo0.htm,/teams/car/2013.htm,away,201310060crd,2013-10-06
Bruce Arians,/coaches/AriaBr0.htm,/teams/crd/2013.htm,home,201310060crd,2013-10-06
John Fox,/coaches/FoxxJo0.htm,/teams/den/2013.htm,away,201310060dal,2013-10-06
Jason Garrett,/coaches/GarrJa0.htm,/teams/dal/2013.htm,home,201310060dal,2013-10-06
Jim Schwartz,/coaches/SchwJi0.htm,/teams/det/2013.htm,away,201310060gnb,2013-10-06
Mike McCarthy,/coaches/McCaMi0.htm,/teams/gnb/2013.htm,home,201310060gnb,2013-10-06
John Harbaugh,/coaches/HarbJo0.htm,/teams/rav/2013.htm,away,201310060mia,2013-10-06
Joe Philbin,/coaches/PhilJo0.htm,/teams/mia/2013.htm,home,201310060mia,2013-10-06
Chip Kelly,/coaches/KellCh0.htm,/teams/phi/2013.htm,away,201310060nyg,2013-10-06
Tom Coughlin,/coaches/CougTo0.htm,/teams/nyg/2013.htm,home,201310060nyg,2013-10-06
Andy Reid,/coaches/ReidAn0.htm,/teams/kan/2013.htm,away,201310060oti,2013-10-06
Mike Munchak,/coaches/MuncMi0.htm,/teams/oti/2013.htm,home,201310060oti,2013-10-06
Mike McCoy,/coaches/McCoMi1.htm,/teams/sdg/2013.htm,away,201310060rai,2013-10-06
Dennis Allen,/coaches/AlleDe0.htm,/teams/rai/2013.htm,home,201310060rai,2013-10-06
Gus Bradley,/coaches/BradGu0.htm,/teams/jax/2013.htm,away,201310060ram,2013-10-06
Jeff Fisher,/coaches/FishJe0.htm,/teams/ram/2013.htm,home,201310060ram,2013-10-06
Gary Kubiak,/coaches/KubiGa0.htm,/teams/htx/2013.htm,away,201310060sfo,2013-10-06
Jim Harbaugh,/coaches/HarbJi0.htm,/teams/sfo/2013.htm,home,201310060sfo,2013-10-06
Rex Ryan,/coaches/RyanRe0.htm,/teams/nyj/2013.htm,away,201310070atl,2013-10-07
Mike Smith,/coaches/SmitMi0.htm,/teams/atl/2013.htm,home,201310070atl,2013-10-07
Tom Coughlin,/coaches/CougTo0.htm,/teams/nyg/2013.htm,away,201310100chi,2013-10-10
Marc Trestman,/coaches/TresMa0.htm,/teams/chi/2013.htm,home,201310100chi,2013-10-10
Marvin Lewis,/coaches/LewiMa0.htm,/teams/cin/2013.htm,away,201310130buf,2013-10-13
Doug Marrone,/coaches/MarrDo0.htm,/teams/buf/2013.htm,home,201310130buf,2013-10-13
Jim Schwartz,/coaches/SchwJi0.htm,/teams/det/2013.htm,away,201310130cle,2013-10-13
Rob Chudzinski,/coaches/ChudRo0.htm,/teams/cle/2013.htm,home,201310130cle,2013-10-13
Mike Shanahan,/coaches/ShanMi0.htm,/teams/was/2013.htm,away,201310130dal,2013-10-13
Jason Garrett,/coaches/GarrJa0.htm,/teams/dal/2013.htm,home,201310130dal,2013-10-13
Gus Bradley,/coaches/BradGu0.htm,/teams/jax/2013.htm,away,201310130den,2013-10-13
John Fox,/coaches/FoxxJo0.htm,/teams/den/2013.htm,home,201310130den,2013-10-13
Jeff Fisher,/coaches/FishJe0.htm,/teams/ram/2013.htm,away,201310130htx,2013-10-13
Gary Kubiak,/coaches/KubiGa0.htm,/teams/htx/2013.htm,home,201310130htx,2013-10-13
