position,statistic,stat_source,weight
TE,punt_ret_td,player_returns_all.csv,0.0
TE,punt_ret_long,player_returns_all.csv,0.0
TE,active,injuries_all.csv,0.041800218045901526
TE,game_status_available,injuries_all.csv,-0.026292945789604897
TE,game_status_out,injuries_all.csv,0.004788761433811674
TE,game_status_probable,injuries_all.csv,-0.011758010335369032
TE,game_status_doubtful,injuries_all.csv,0.07376587050814164
TE,game_status_injured_reserve,injuries_all.csv,0.004266980440995388
TE,game_status_questionable,injuries_all.csv,-0.02135046412050213
TE,game_status_unable_to_perform,injuries_all.csv,-0.029576381125585686
TE,game_status_suspended,injuries_all.csv,0.0
TE,game_status_day_to_day,injuries_all.csv,0.0
TE,game_status_reserve,injuries_all.csv,0.0
TE,game_status_unknown,injuries_all.csv,0.0
K,off_num,snap_counts_all.csv,0.0
K,off_pct,snap_counts_all.csv,0.0
K,def_num,snap_counts_all.csv,0.0
K,def_pct,snap_counts_all.csv,0.0
K,st_num,snap_counts_all.csv,-0.0031660786313523204
K,st_pct,snap_counts_all.csv,0.05441852004294745
K,home,game_starters_all.csv,0.0
K,season,injuries_all.csv,1.8388636817689985e-06
K,def_int,player_defense_all.csv,0.0
K,def_int_yds,player_defense_all.csv,0.0
K,def_int_td,player_defense_all.csv,0.0
K,def_int_long,player_defense_all.csv,0.0
K,pass_defended,player_defense_all.csv,0.0
K,sacks,player_defense_all.csv,0.0
K,tackles_combined,player_defense_all.csv,-0.13108954927668715
K,tackles_solo,player_defense_all.csv,0.2500355155478007
K,tackles_assists,player_defense_all.csv,-0.38112506482448755
K,tackles_loss,player_defense_all.csv,0.0
K,qb_hits,player_defense_all.csv,0.0
K,fumbles_rec,player_defense_all.csv,-0.2582490374762216
K,fumbles_rec_yds,player_defense_all.csv,-0.14533507855062025
K,fumbles_rec_td,player_defense_all.csv,0.0
K,fumbles_forced,player_defense_all.csv,0.0
K,pass_cmp,player_offense_all.csv,0.0
K,pass_att,player_offense_all.csv,0.0
K,pass_yds,player_offense_all.csv,0.0
K,pass_td,player_offense_all.csv,0.0
K,pass_int,player_offense_all.csv,0.0
K,pass_sacked,player_offense_all.csv,0.0
K,pass_sacked_yds,player_offense_all.csv,0.0
K,pass_long,player_offense_all.csv,0.0
K,pass_rating,player_offense_all.csv,0.0
K,rush_att,player_offense_all.csv,0.0
K,rush_yds,player_offense_all.csv,0.0
K,rush_td,player_offense_all.csv,0.0
K,rush_long,player_offense_all.csv,0.0
K,rec_tgt,player_offense_all.csv,0.0
K,rec_rec,player_offense_all.csv,0.0
K,rec_yds,player_offense_all.csv,0.0
K,rec_td,player_offense_all.csv,0.0
K,rec_long,player_offense_all.csv,0.0
K,fmb,player_offense_all.csv,0.0
K,fmb_lost,player_offense_all.csv,0.0
K,scoring_xpm,player_kicking_all.csv,0.18950381707979602
K,scoring_xpa,player_kicking_all.csv,-0.1685978349613606
