team_id,season,event_date,rating,team_rating
jax,2013,2013-10-27,145.17952,136.91497666666666
buf,2013,2013-10-27,130.63488,131.86034333333333
nyj,2013,2013-10-27,137.46954,143.74162
sea,2013,2013-10-28,87.04119999999999,151.23989333333336
ram,2013,2013-10-28,163.51816,132.74842333333333
cin,2013,2013-10-31,193.90228000000002,165.64419666666666
mia,2013,2013-10-31,137.77854,135.91000333333332
nor,2013,2013-11-03,157.47207,156.0575266666667
rai,2013,2013-11-03,200.72458,135.61898
rav,2013,2013-11-03,133.37347,149.47929333333335
nwe,2013,2013-11-03,183.30711,128.33337666666665
tam,2013,2013-11-03,160.32882,150.5480266666667
htx,2013,2013-11-03,184.66832000000002,150.47859
phi,2013,2013-11-03,153.74518,120.51366666666667
oti,2013,2013-11-03,135.21968999999999,129.36787
sea,2013,2013-11-03,152.13785000000001,128.45844333333335
min,2013,2013-11-03,154.79773,106.09056333333335
clt,2013,2013-11-03,123.94882,130.50914333333336
dal,2013,2013-11-03,145.78097,132.65160333333333
car,2013,2013-11-03,169.06638,155.30992666666668
sdg,2013,2013-11-03,145.33742,173.42327333333336
nyj,2013,2013-11-03,139.23794,149.9222
cle,2013,2013-11-03,144.27111,127.36177000000002
was,2013,2013-11-03,196.31857,157.28738333333334
atl,2013,2013-11-03,115.99787,145.32447333333332
buf,2013,2013-11-03,159.76966000000002,130.32839333333337
pit,2013,2013-11-03,171.0662,145.1966633333333
kan,2013,2013-11-03,121.53509000000001,141.59893666666667
ram,2013,2013-11-03,153.71037,133.78081999999998
gnb,2013,2013-11-04,125.99441000000002,170.83941000000002
chi,2013,2013-11-04,167.99975,144.96309
was,2013,2013-11-07,175.02791000000002,166.90054333333333
min,2013,2013-11-07,121.90346,118.28379
ram,2013,2013-11-10,149.16302000000002,149.58272333333332
dal,2013,2013-11-10,89.91419,144.35403333333332
den,2013,2013-11-10,131.45858,158.60939666666667
cin,2013,2013-11-10,170.43149,162.14293666666666
rai,2013,2013-11-10,115.04629,157.93113000000002
sfo,2013,2013-11-10,106.20616000000001,155.64846
phi,2013,2013-11-10,138.13625000000002,123.02882666666666
gnb,2013,2013-11-10,167.86865,158.62045
chi,2013,2013-11-10,152.52505,153.35737666666668
rav,2013,2013-11-10,124.24144,137.64825666666667
oti,2013,2013-11-10,150.77057000000002,127.71700333333332
sea,2013,2013-11-10,180.50517,125.10194666666666
clt,2013,2013-11-10,158.9684,126.38476333333334
car,2013,2013-11-10,135.38148,155.92633666666669
jax,2013,2013-11-10,123.48263,141.42315
buf,2013,2013-11-10,110.20804,141.26314000000002
pit,2013,2013-11-10,152.59584,148.40733666666668
det,2013,2013-11-10,141.07266,180.0961266666667
htx,2013,2013-11-10,125.31584000000001,162.2735266666667
sdg,2013,2013-11-10,165.66337000000001,166.5372166666667
crd,2013,2013-11-10,146.38075,135.91855
nyg,2013,2013-11-10,134.41315,151.09194333333332
atl,2013,2013-11-10,110.74804999999999,128.19333666666668
nor,2013,2013-11-10,215.99303,153.09387333333333
tam,2013,2013-11-11,142.97168,151.4165166666667
mia,2013,2013-11-11,113.08333,141.28809333333334
clt,2013,2013-11-14,154.23321,143.59256333333335
oti,2013,2013-11-14,136.12182,139.50241333333335
rai,2013,2013-11-17,145.42546000000002,148.0256566666667
phi,2013,2013-11-17,142.4481,130.30580666666665
den,2013,2013-11-17,157.93200000000002,151.77952000000002
nyg,2013,2013-11-17,161.01142,150.27195999999998
htx,2013,2013-11-17,149.4807,147.34816
atl,2013,2013-11-17,145.90978,126.85030333333333
sdg,2013,2013-11-17,161.52485,163.70111000000003
tam,2013,2013-11-17,160.22192,143.51936666666668
was,2013,2013-11-17,166.50286,165.86651666666668
sea,2013,2013-11-17,127.86625000000001,139.89473999999998
chi,2013,2013-11-17,140.56331,151.49409666666665
cle,2013,2013-11-17,150.03512,128.19493
